Context,Question,T5 Answer,Heystack Answer
"The New Kingdom c.15501070 BCE began with the Eighteenth Dynasty, marking the rise of Egypt as an international power that expanded during its greatest extension to an empire as far south as Tombos in Nubia, and included parts of the Levant in the east. This period is noted for some of the most well known Pharaohs, including Hatshepsut, Thutmose III, Akhenaten and his wife Nefertiti, Tutankhamun and Ramesses II. The first historically attested expression of monotheism came during this period as Atenism. Frequent contacts with other nations brought new ideas to the New Kingdom. The country was later invaded and conquered by Libyans, Nubians and Assyrians, but native Egyptians eventually drove them out and regained control of their country.",Who invaded Egypt during the New Kingdom?,"Libyans, Nubians and Assyrians","Libyans, Nubians and Assyrians"
"Egyptian soldier of the Achaemenid army, c. 480 BCE. Xerxes I tomb relief. In 525 BCE, the powerful Achaemenid Persians, led by Cambyses II, began their conquest of Egypt, eventually capturing the pharaoh Psamtik III at the battle of Pelusium. Cambyses II then assumed the formal title of pharaoh, but ruled Egypt from his home of Susa in Persia,leaving Egypt under the control of a satrapy. The entire Twenty-seventh Dynasty of Egypt, from 525 to 402 BCE, save for Petubastis III, was an entirely Persian ruled period, with the Achaemenid Emperors all being granted the title of pharaoh. A few temporarily successful revolts against the Persians marked the fifth century BCE, but Egypt was never able to permanently overthrow the Persians.",When did the Achaemenid army begin?,480 BCE,480 BCE
"Egyptian soldier of the Achaemenid army, c. 480 BCE. Xerxes I tomb relief. In 525 BCE, the powerful Achaemenid Persians, led by Cambyses II, began their conquest of Egypt, eventually capturing the pharaoh Psamtik III at the battle of Pelusium. Cambyses II then assumed the formal title of pharaoh, but ruled Egypt from his home of Susa in Persia,leaving Egypt under the control of a satrapy. The entire Twenty-seventh Dynasty of Egypt, from 525 to 402 BCE, save for Petubastis III, was an entirely Persian ruled period, with the Achaemenid Emperors all being granted the title of pharaoh. A few temporarily successful revolts against the Persians marked the fifth century BCE, but Egypt was never able to permanently overthrow the Persians.",Who was the tomb relief of the Achaemenid army?,Xerxes I,Xerxes I
"Egyptian soldier of the Achaemenid army, c. 480 BCE. Xerxes I tomb relief. In 525 BCE, the powerful Achaemenid Persians, led by Cambyses II, began their conquest of Egypt, eventually capturing the pharaoh Psamtik III at the battle of Pelusium. Cambyses II then assumed the formal title of pharaoh, but ruled Egypt from his home of Susa in Persia,leaving Egypt under the control of a satrapy. The entire Twenty-seventh Dynasty of Egypt, from 525 to 402 BCE, save for Petubastis III, was an entirely Persian ruled period, with the Achaemenid Emperors all being granted the title of pharaoh. A few temporarily successful revolts against the Persians marked the fifth century BCE, but Egypt was never able to permanently overthrow the Persians.",When did the powerful Achaemenid Persians begin their conquest of Egypt?,525 BCE,525 BCE
"Egyptian soldier of the Achaemenid army, c. 480 BCE. Xerxes I tomb relief. In 525 BCE, the powerful Achaemenid Persians, led by Cambyses II, began their conquest of Egypt, eventually capturing the pharaoh Psamtik III at the battle of Pelusium. Cambyses II then assumed the formal title of pharaoh, but ruled Egypt from his home of Susa in Persia,leaving Egypt under the control of a satrapy. The entire Twenty-seventh Dynasty of Egypt, from 525 to 402 BCE, save for Petubastis III, was an entirely Persian ruled period, with the Achaemenid Emperors all being granted the title of pharaoh. A few temporarily successful revolts against the Persians marked the fifth century BCE, but Egypt was never able to permanently overthrow the Persians.",Where did Cambyses II rule from?,Susa in Persia,Susa
"Egyptian soldier of the Achaemenid army, c. 480 BCE. Xerxes I tomb relief. In 525 BCE, the powerful Achaemenid Persians, led by Cambyses II, began their conquest of Egypt, eventually capturing the pharaoh Psamtik III at the battle of Pelusium. Cambyses II then assumed the formal title of pharaoh, but ruled Egypt from his home of Susa in Persia,leaving Egypt under the control of a satrapy. The entire Twenty-seventh Dynasty of Egypt, from 525 to 402 BCE, save for Petubastis III, was an entirely Persian ruled period, with the Achaemenid Emperors all being granted the title of pharaoh. A few temporarily successful revolts against the Persians marked the fifth century BCE, but Egypt was never able to permanently overthrow the Persians.",Who was the only member of the Twenty-seventh Dynasty of Egypt?,Petubastis III,Petubastis III
"Egyptian soldier of the Achaemenid army, c. 480 BCE. Xerxes I tomb relief. In 525 BCE, the powerful Achaemenid Persians, led by Cambyses II, began their conquest of Egypt, eventually capturing the pharaoh Psamtik III at the battle of Pelusium. Cambyses II then assumed the formal title of pharaoh, but ruled Egypt from his home of Susa in Persia,leaving Egypt under the control of a satrapy. The entire Twenty-seventh Dynasty of Egypt, from 525 to 402 BCE, save for Petubastis III, was an entirely Persian ruled period, with the Achaemenid Emperors all being granted the title of pharaoh. A few temporarily successful revolts against the Persians marked the fifth century BCE, but Egypt was never able to permanently overthrow the Persians.",When did Egypt finally overthrow the Persians?,fifth century BCE,828
"The Thirtieth Dynasty was the last native ruling dynasty during the Pharaonic epoch. It fell to the Persians again in 343 BCE after the last native Pharaoh, King Nectanebo II, was defeated in battle. This Thirty-first Dynasty of Egypt, however, did not last long, as the Persians were toppled several decades later by Alexander the Great. The Macedonian Greek general of Alexander, Ptolemy I Soter, founded the Ptolemaic dynasty.",What was the last native ruling dynasty during the Pharaonic epoch?,The Thirtieth Dynasty,Cleopatra VII
"The Thirtieth Dynasty was the last native ruling dynasty during the Pharaonic epoch. It fell to the Persians again in 343 BCE after the last native Pharaoh, King Nectanebo II, was defeated in battle. This Thirty-first Dynasty of Egypt, however, did not last long, as the Persians were toppled several decades later by Alexander the Great. The Macedonian Greek general of Alexander, Ptolemy I Soter, founded the Ptolemaic dynasty.",When did the Thirtieth dynasty fall to the Persians again?,343 BCE,343 BCE
"The Thirtieth Dynasty was the last native ruling dynasty during the Pharaonic epoch. It fell to the Persians again in 343 BCE after the last native Pharaoh, King Nectanebo II, was defeated in battle. This Thirty-first Dynasty of Egypt, however, did not last long, as the Persians were toppled several decades later by Alexander the Great. The Macedonian Greek general of Alexander, Ptolemy I Soter, founded the Ptolemaic dynasty.",Who was the last native Pharaoh?,King Nectanebo II,King Nectanebo II
"The Thirtieth Dynasty was the last native ruling dynasty during the Pharaonic epoch. It fell to the Persians again in 343 BCE after the last native Pharaoh, King Nectanebo II, was defeated in battle. This Thirty-first Dynasty of Egypt, however, did not last long, as the Persians were toppled several decades later by Alexander the Great. The Macedonian Greek general of Alexander, Ptolemy I Soter, founded the Ptolemaic dynasty.",What dynasty did not last long?,Thirty-first Dynasty of Egypt,Thirty-first Dynasty of Egypt
"The Thirtieth Dynasty was the last native ruling dynasty during the Pharaonic epoch. It fell to the Persians again in 343 BCE after the last native Pharaoh, King Nectanebo II, was defeated in battle. This Thirty-first Dynasty of Egypt, however, did not last long, as the Persians were toppled several decades later by Alexander the Great. The Macedonian Greek general of Alexander, Ptolemy I Soter, founded the Ptolemaic dynasty.",Who founded the Ptolemaic dynasty?,Ptolemy I Soter,Ptolemy I Soter
"The Ptolemaic Queen Cleopatra VII and her son by Julius Caesar, Caesarion, at the Temple of Dendera The Ptolemaic Kingdom was a powerful Hellenistic state, extending from southern Syria in the east, to Cyrene to the west, and south to the frontier with Nubia. Alexandria became the capital city and a centre of Greek culture and trade. To gain recognition by the native Egyptian populace, they named themselves as the successors to the Pharaohs. The later Ptolemies took on Egyptian traditions, had themselves portrayed on public monuments in Egyptian style and dress, and participated in Egyptian religious life.",Who was the Ptolemaic Queen?,Cleopatra VII,Cleopatra VII
"The Ptolemaic Queen Cleopatra VII and her son by Julius Caesar, Caesarion, at the Temple of Dendera The Ptolemaic Kingdom was a powerful Hellenistic state, extending from southern Syria in the east, to Cyrene to the west, and south to the frontier with Nubia. Alexandria became the capital city and a centre of Greek culture and trade. To gain recognition by the native Egyptian populace, they named themselves as the successors to the Pharaohs. The later Ptolemies took on Egyptian traditions, had themselves portrayed on public monuments in Egyptian style and dress, and participated in Egyptian religious life.",What became the capital city of the Ptolemaic Kingdom?,Alexandria,Alexandria
"The Ptolemaic Queen Cleopatra VII and her son by Julius Caesar, Caesarion, at the Temple of Dendera The Ptolemaic Kingdom was a powerful Hellenistic state, extending from southern Syria in the east, to Cyrene to the west, and south to the frontier with Nubia. Alexandria became the capital city and a centre of Greek culture and trade. To gain recognition by the native Egyptian populace, they named themselves as the successors to the Pharaohs. The later Ptolemies took on Egyptian traditions, had themselves portrayed on public monuments in Egyptian style and dress, and participated in Egyptian religious life.","To gain recognition by the native Egyptian populace, the Ptolemies named themselves as the successors to whom?",Pharaohs,the Pharaohs
"The Ptolemaic Queen Cleopatra VII and her son by Julius Caesar, Caesarion, at the Temple of Dendera The Ptolemaic Kingdom was a powerful Hellenistic state, extending from southern Syria in the east, to Cyrene to the west, and south to the frontier with Nubia. Alexandria became the capital city and a centre of Greek culture and trade. To gain recognition by the native Egyptian populace, they named themselves as the successors to the Pharaohs. The later Ptolemies took on Egyptian traditions, had themselves portrayed on public monuments in Egyptian style and dress, and participated in Egyptian religious life.",What did the Ptolemies participate in?,Egyptian religious life,Egyptian religious life
"The last ruler from the Ptolemaic line was Cleopatra VII, who committed suicide following the burial of her lover Mark Antony who had died in her arms,after Octavian had captured Alexandria and her mercenary forces had fled. The Ptolemies faced rebellions of native Egyptians often caused by an unwanted regime and were involved in foreign and civil wars that led to the decline of the kingdom and its annexation by Rome. Nevertheless, Hellenistic culture continued to thrive in Egypt well after the Muslim conquest.",Who was the last ruler from the Ptolemaic line?,Cleopatra VII,Cleopatra VII
"The last ruler from the Ptolemaic line was Cleopatra VII, who committed suicide following the burial of her lover Mark Antony who had died in her arms,after Octavian had captured Alexandria and her mercenary forces had fled. The Ptolemies faced rebellions of native Egyptians often caused by an unwanted regime and were involved in foreign and civil wars that led to the decline of the kingdom and its annexation by Rome. Nevertheless, Hellenistic culture continued to thrive in Egypt well after the Muslim conquest.",Who was Cleopatra VII's lover?,Mark Antony,Mark Antony
"The last ruler from the Ptolemaic line was Cleopatra VII, who committed suicide following the burial of her lover Mark Antony who had died in her arms,after Octavian had captured Alexandria and her mercenary forces had fled. The Ptolemies faced rebellions of native Egyptians often caused by an unwanted regime and were involved in foreign and civil wars that led to the decline of the kingdom and its annexation by Rome. Nevertheless, Hellenistic culture continued to thrive in Egypt well after the Muslim conquest.",Who annexed Alexandria?,Rome,Rome
"The last ruler from the Ptolemaic line was Cleopatra VII, who committed suicide following the burial of her lover Mark Antony who had died in her arms,after Octavian had captured Alexandria and her mercenary forces had fled. The Ptolemies faced rebellions of native Egyptians often caused by an unwanted regime and were involved in foreign and civil wars that led to the decline of the kingdom and its annexation by Rome. Nevertheless, Hellenistic culture continued to thrive in Egypt well after the Muslim conquest.",What culture continued to thrive in Egypt after the Muslim conquest?,Hellenistic culture,Hellenistic
"Christianity was brought to Egypt by Saint Mark the Evangelist in the 1st century. Diocletian's reign marked the transition from the Roman to the Byzantine era in Egypt, when a great number of Egyptian Christians were persecuted. The New Testament had by then been translated into Egyptian. After the Council of Chalcedon in CE 451, a distinct Egyptian Coptic Church was firmly established.",Who brought Christianity to Egypt?,Saint Mark the Evangelist,Saint Mark the Evangelist
"Christianity was brought to Egypt by Saint Mark the Evangelist in the 1st century. Diocletian's reign marked the transition from the Roman to the Byzantine era in Egypt, when a great number of Egyptian Christians were persecuted. The New Testament had by then been translated into Egyptian. After the Council of Chalcedon in CE 451, a distinct Egyptian Coptic Church was firmly established.",Whose reign marked the transition from the Roman to the Byzantine era in Egypt?,Diocletian,Diocletian
"Christianity was brought to Egypt by Saint Mark the Evangelist in the 1st century. Diocletian's reign marked the transition from the Roman to the Byzantine era in Egypt, when a great number of Egyptian Christians were persecuted. The New Testament had by then been translated into Egyptian. After the Council of Chalcedon in CE 451, a distinct Egyptian Coptic Church was firmly established.",What had been translated into Egyptian during Diocletian's reign?,The New Testament,The New Testament
"Christianity was brought to Egypt by Saint Mark the Evangelist in the 1st century. Diocletian's reign marked the transition from the Roman to the Byzantine era in Egypt, when a great number of Egyptian Christians were persecuted. The New Testament had by then been translated into Egyptian. After the Council of Chalcedon in CE 451, a distinct Egyptian Coptic Church was firmly established.",When was the Council of Chalcedon?,CE 451,CE 451
"The Amr ibn al-As mosque in Cairo, recognized as the oldest in Africa The Byzantines were able to regain control of the country after a brief Sasanid Persian invasion early in the 7th century amidst the ByzantineSasanian War of 602628 during which they established a new short-lived province for ten years known as Sasanian Egypt, until 639 ,when Egypt was invaded and conquered by the Islamic caliphate by the Muslim Arabs. When they defeated the Byzantine armies in Egypt, the Arabs brought Islam to the country. Some time during this period, Egyptians began to blend in their new faith with indigenous beliefs and practices, leading to various Sufi orders that have flourished to this day. These earlier rites had survived the period of Coptic Christianity.",What caused the Byzantines to regain control of Egypt?,Sasanid Persian invasion,Sasanid Persian invasion
"The Amr ibn al-As mosque in Cairo, recognized as the oldest in Africa The Byzantines were able to regain control of the country after a brief Sasanid Persian invasion early in the 7th century amidst the ByzantineSasanian War of 602628 during which they established a new short-lived province for ten years known as Sasanian Egypt, until 639 ,when Egypt was invaded and conquered by the Islamic caliphate by the Muslim Arabs. When they defeated the Byzantine armies in Egypt, the Arabs brought Islam to the country. Some time during this period, Egyptians began to blend in their new faith with indigenous beliefs and practices, leading to various Sufi orders that have flourished to this day. These earlier rites had survived the period of Coptic Christianity.",Who brought Islam to Egypt?,Arabs,Muhammad Ali
"The Amr ibn al-As mosque in Cairo, recognized as the oldest in Africa The Byzantines were able to regain control of the country after a brief Sasanid Persian invasion early in the 7th century amidst the ByzantineSasanian War of 602628 during which they established a new short-lived province for ten years known as Sasanian Egypt, until 639 ,when Egypt was invaded and conquered by the Islamic caliphate by the Muslim Arabs. When they defeated the Byzantine armies in Egypt, the Arabs brought Islam to the country. Some time during this period, Egyptians began to blend in their new faith with indigenous beliefs and practices, leading to various Sufi orders that have flourished to this day. These earlier rites had survived the period of Coptic Christianity.",What did the Egyptians begin to blend in their new faith with?,indigenous beliefs and practices,indigenous beliefs and practices
"The Amr ibn al-As mosque in Cairo, recognized as the oldest in Africa The Byzantines were able to regain control of the country after a brief Sasanid Persian invasion early in the 7th century amidst the ByzantineSasanian War of 602628 during which they established a new short-lived province for ten years known as Sasanian Egypt, until 639 ,when Egypt was invaded and conquered by the Islamic caliphate by the Muslim Arabs. When they defeated the Byzantine armies in Egypt, the Arabs brought Islam to the country. Some time during this period, Egyptians began to blend in their new faith with indigenous beliefs and practices, leading to various Sufi orders that have flourished to this day. These earlier rites had survived the period of Coptic Christianity.",What religion did Sufi rites survive?,Coptic Christianity,Coptic Christianity
"In 639 an army of around 4,000 men were sent in Egypt by the second caliph, Umar, under the command of Amr ibn al-As. They were joined by additional 5,000 men in 640 and defeated a Roman army at the battle of Heliopolis. Amr next proceeded in the direction of Alexandria, which surrendered to him by a treaty signed on 8 November 641. Alexandria was regained for the Byzantine Empire in 645 but was retaken by Amr in 646. In 654 an invasion fleet sent by Constans II was repulsed. From that time no serious effort was made by the Byzantine Romans to regain possession of the country.",Who was the second caliph?,Umar,Umar
"In 639 an army of around 4,000 men were sent in Egypt by the second caliph, Umar, under the command of Amr ibn al-As. They were joined by additional 5,000 men in 640 and defeated a Roman army at the battle of Heliopolis. Amr next proceeded in the direction of Alexandria, which surrendered to him by a treaty signed on 8 November 641. Alexandria was regained for the Byzantine Empire in 645 but was retaken by Amr in 646. In 654 an invasion fleet sent by Constans II was repulsed. From that time no serious effort was made by the Byzantine Romans to regain possession of the country.",How many men were in the army of Umar ibn al-As?,"5,000 men","4,000"
"In 639 an army of around 4,000 men were sent in Egypt by the second caliph, Umar, under the command of Amr ibn al-As. They were joined by additional 5,000 men in 640 and defeated a Roman army at the battle of Heliopolis. Amr next proceeded in the direction of Alexandria, which surrendered to him by a treaty signed on 8 November 641. Alexandria was regained for the Byzantine Empire in 645 but was retaken by Amr in 646. In 654 an invasion fleet sent by Constans II was repulsed. From that time no serious effort was made by the Byzantine Romans to regain possession of the country.",When did Alexandria surrender to Amr?,8 November 641,1517
"In 639 an army of around 4,000 men were sent in Egypt by the second caliph, Umar, under the command of Amr ibn al-As. They were joined by additional 5,000 men in 640 and defeated a Roman army at the battle of Heliopolis. Amr next proceeded in the direction of Alexandria, which surrendered to him by a treaty signed on 8 November 641. Alexandria was regained for the Byzantine Empire in 645 but was retaken by Amr in 646. In 654 an invasion fleet sent by Constans II was repulsed. From that time no serious effort was made by the Byzantine Romans to regain possession of the country.",Who retaken Alexandria in 646?,Amr,Amr
"In 639 an army of around 4,000 men were sent in Egypt by the second caliph, Umar, under the command of Amr ibn al-As. They were joined by additional 5,000 men in 640 and defeated a Roman army at the battle of Heliopolis. Amr next proceeded in the direction of Alexandria, which surrendered to him by a treaty signed on 8 November 641. Alexandria was regained for the Byzantine Empire in 645 but was retaken by Amr in 646. In 654 an invasion fleet sent by Constans II was repulsed. From that time no serious effort was made by the Byzantine Romans to regain possession of the country.",Who sent an invasion fleet to Egypt in 654?,Constans II,Constans II
"In 639 an army of around 4,000 men were sent in Egypt by the second caliph, Umar, under the command of Amr ibn al-As. They were joined by additional 5,000 men in 640 and defeated a Roman army at the battle of Heliopolis. Amr next proceeded in the direction of Alexandria, which surrendered to him by a treaty signed on 8 November 641. Alexandria was regained for the Byzantine Empire in 645 but was retaken by Amr in 646. In 654 an invasion fleet sent by Constans II was repulsed. From that time no serious effort was made by the Byzantine Romans to regain possession of the country.",Who made no effort to regain possession of Egypt?,Byzantine Romans,Byzantine Romans
"The Ibn Tulun Mosque in Cairo, of Ahmad Ibn Tulun The Abbasid period was marked by new taxations, and the Copts revolted again in the fourth year of Abbasid rule. At the beginning of the 9th century the practice of ruling Egypt through a governor was resumed under Abdallah ibn Tahir, who decided to reside at Baghdad, sending a deputy to Egypt to govern for him. In 828 another Egyptian revolt broke out, and in 831 the Copts joined with native Muslims against the government. Eventually the power loss of the Abbasids in Baghdad has led for general upon general to take over rule of Egypt, yet being under Abbasid allegiance, the Tulunid dynasty and Ikhshidid dynasty were among the most successful to defy the Abbasid Caliph.",Who built the Ibn Tulun Mosque?,Ahmad Ibn Tulun,Ahmad Ibn Tulun
"The Ibn Tulun Mosque in Cairo, of Ahmad Ibn Tulun The Abbasid period was marked by new taxations, and the Copts revolted again in the fourth year of Abbasid rule. At the beginning of the 9th century the practice of ruling Egypt through a governor was resumed under Abdallah ibn Tahir, who decided to reside at Baghdad, sending a deputy to Egypt to govern for him. In 828 another Egyptian revolt broke out, and in 831 the Copts joined with native Muslims against the government. Eventually the power loss of the Abbasids in Baghdad has led for general upon general to take over rule of Egypt, yet being under Abbasid allegiance, the Tulunid dynasty and Ikhshidid dynasty were among the most successful to defy the Abbasid Caliph.",Who was the governor of Egypt at the beginning of the 9th century?,Abdallah ibn Tahir,Abdallah ibn Tahir
"The Ibn Tulun Mosque in Cairo, of Ahmad Ibn Tulun The Abbasid period was marked by new taxations, and the Copts revolted again in the fourth year of Abbasid rule. At the beginning of the 9th century the practice of ruling Egypt through a governor was resumed under Abdallah ibn Tahir, who decided to reside at Baghdad, sending a deputy to Egypt to govern for him. In 828 another Egyptian revolt broke out, and in 831 the Copts joined with native Muslims against the government. Eventually the power loss of the Abbasids in Baghdad has led for general upon general to take over rule of Egypt, yet being under Abbasid allegiance, the Tulunid dynasty and Ikhshidid dynasty were among the most successful to defy the Abbasid Caliph.",When did the Copts join with native Muslims against the government?,831,831
"The Ibn Tulun Mosque in Cairo, of Ahmad Ibn Tulun The Abbasid period was marked by new taxations, and the Copts revolted again in the fourth year of Abbasid rule. At the beginning of the 9th century the practice of ruling Egypt through a governor was resumed under Abdallah ibn Tahir, who decided to reside at Baghdad, sending a deputy to Egypt to govern for him. In 828 another Egyptian revolt broke out, and in 831 the Copts joined with native Muslims against the government. Eventually the power loss of the Abbasids in Baghdad has led for general upon general to take over rule of Egypt, yet being under Abbasid allegiance, the Tulunid dynasty and Ikhshidid dynasty were among the most successful to defy the Abbasid Caliph.",Who were among the most successful to defy the Abbasid Caliph?,the Tulunid dynasty and Ikhshidid dynasty,the Tulunid dynasty (868–905) and Ikhshidid dynasty
"The Al-Hakim Mosque in Cairo, of Al-Hakim bi-Amr Allah, the sixth caliph, as renovated by Dawoodi Bohra Muslim rulers remained in control of Egypt for the next six centuries, with Cairo as the seat of the Fatimid Caliphate. With the end of the Ayyubid dynasty, the Mamluks, a Turco-Circassian military caste, took control about 1250. By the late 13th century, Egypt linked the Red Sea, India, Malaya, and East Indies. The mid-14th-century Black Death killed about 40% of the country's population.",What was Cairo the seat of?,Fatimid Caliphate,Egyptian Mamluks
"The Al-Hakim Mosque in Cairo, of Al-Hakim bi-Amr Allah, the sixth caliph, as renovated by Dawoodi Bohra Muslim rulers remained in control of Egypt for the next six centuries, with Cairo as the seat of the Fatimid Caliphate. With the end of the Ayyubid dynasty, the Mamluks, a Turco-Circassian military caste, took control about 1250. By the late 13th century, Egypt linked the Red Sea, India, Malaya, and East Indies. The mid-14th-century Black Death killed about 40% of the country's population.",What mosque was renovated by Dawoodi Bohra Muslim rulers?,Al-Hakim Mosque,Al-Hakim Mosque
"The Al-Hakim Mosque in Cairo, of Al-Hakim bi-Amr Allah, the sixth caliph, as renovated by Dawoodi Bohra Muslim rulers remained in control of Egypt for the next six centuries, with Cairo as the seat of the Fatimid Caliphate. With the end of the Ayyubid dynasty, the Mamluks, a Turco-Circassian military caste, took control about 1250. By the late 13th century, Egypt linked the Red Sea, India, Malaya, and East Indies. The mid-14th-century Black Death killed about 40% of the country's population.",When did the Mamluks take control of Egypt?,1250,1250
"The Al-Hakim Mosque in Cairo, of Al-Hakim bi-Amr Allah, the sixth caliph, as renovated by Dawoodi Bohra Muslim rulers remained in control of Egypt for the next six centuries, with Cairo as the seat of the Fatimid Caliphate. With the end of the Ayyubid dynasty, the Mamluks, a Turco-Circassian military caste, took control about 1250. By the late 13th century, Egypt linked the Red Sea, India, Malaya, and East Indies. The mid-14th-century Black Death killed about 40% of the country's population.","In what century did Egypt link the Red Sea, India, Malaya, and East Indies?",13th,13th
"The Al-Hakim Mosque in Cairo, of Al-Hakim bi-Amr Allah, the sixth caliph, as renovated by Dawoodi Bohra Muslim rulers remained in control of Egypt for the next six centuries, with Cairo as the seat of the Fatimid Caliphate. With the end of the Ayyubid dynasty, the Mamluks, a Turco-Circassian military caste, took control about 1250. By the late 13th century, Egypt linked the Red Sea, India, Malaya, and East Indies. The mid-14th-century Black Death killed about 40% of the country's population.",What percentage of Egypt's population was killed by the Black Death?,40%,40%
"Napoleon defeated the Mamluk troops in the Battle of the Pyramids, 21 July 1798, painted by Lejeune. Main article: Egypt Eyalet Egypt was conquered by the Ottoman Turks in 1517, after which it became a province of the Ottoman Empire. The defensive militarisation damaged its civil society and economic institutions. The weakening of the economic system combined with the effects of plague left Egypt vulnerable to foreign invasion. Portuguese traders took over their trade. Between 1687 and 1731, Egypt experienced six famines. The 1784 famine cost it roughly one-sixth of its population.",Who painted the Battle of the Pyramids?,Lejeune,Lejeune
"Napoleon defeated the Mamluk troops in the Battle of the Pyramids, 21 July 1798, painted by Lejeune. Main article: Egypt Eyalet Egypt was conquered by the Ottoman Turks in 1517, after which it became a province of the Ottoman Empire. The defensive militarisation damaged its civil society and economic institutions. The weakening of the economic system combined with the effects of plague left Egypt vulnerable to foreign invasion. Portuguese traders took over their trade. Between 1687 and 1731, Egypt experienced six famines. The 1784 famine cost it roughly one-sixth of its population.",When was Egypt conquered by the Ottoman Turks?,1517,1517
"Napoleon defeated the Mamluk troops in the Battle of the Pyramids, 21 July 1798, painted by Lejeune. Main article: Egypt Eyalet Egypt was conquered by the Ottoman Turks in 1517, after which it became a province of the Ottoman Empire. The defensive militarisation damaged its civil society and economic institutions. The weakening of the economic system combined with the effects of plague left Egypt vulnerable to foreign invasion. Portuguese traders took over their trade. Between 1687 and 1731, Egypt experienced six famines. The 1784 famine cost it roughly one-sixth of its population.",What damaged Egypt's civil society and economic institutions?,defensive militarisation,defensive militarisation
"Napoleon defeated the Mamluk troops in the Battle of the Pyramids, 21 July 1798, painted by Lejeune. Main article: Egypt Eyalet Egypt was conquered by the Ottoman Turks in 1517, after which it became a province of the Ottoman Empire. The defensive militarisation damaged its civil society and economic institutions. The weakening of the economic system combined with the effects of plague left Egypt vulnerable to foreign invasion. Portuguese traders took over their trade. Between 1687 and 1731, Egypt experienced six famines. The 1784 famine cost it roughly one-sixth of its population.",What did the weakening of the economic system and plague leave Egypt vulnerable to?,foreign invasion,foreign invasion
"Napoleon defeated the Mamluk troops in the Battle of the Pyramids, 21 July 1798, painted by Lejeune. Main article: Egypt Eyalet Egypt was conquered by the Ottoman Turks in 1517, after which it became a province of the Ottoman Empire. The defensive militarisation damaged its civil society and economic institutions. The weakening of the economic system combined with the effects of plague left Egypt vulnerable to foreign invasion. Portuguese traders took over their trade. Between 1687 and 1731, Egypt experienced six famines. The 1784 famine cost it roughly one-sixth of its population.",Who took over Egypt's trade?,Portuguese traders,Portuguese traders
"Napoleon defeated the Mamluk troops in the Battle of the Pyramids, 21 July 1798, painted by Lejeune. Main article: Egypt Eyalet Egypt was conquered by the Ottoman Turks in 1517, after which it became a province of the Ottoman Empire. The defensive militarisation damaged its civil society and economic institutions. The weakening of the economic system combined with the effects of plague left Egypt vulnerable to foreign invasion. Portuguese traders took over their trade. Between 1687 and 1731, Egypt experienced six famines. The 1784 famine cost it roughly one-sixth of its population.",How many famines did Egypt experience between 1687 and 1731?,six,six
"Napoleon defeated the Mamluk troops in the Battle of the Pyramids, 21 July 1798, painted by Lejeune. Main article: Egypt Eyalet Egypt was conquered by the Ottoman Turks in 1517, after which it became a province of the Ottoman Empire. The defensive militarisation damaged its civil society and economic institutions. The weakening of the economic system combined with the effects of plague left Egypt vulnerable to foreign invasion. Portuguese traders took over their trade. Between 1687 and 1731, Egypt experienced six famines. The 1784 famine cost it roughly one-sixth of its population.",How much did the 1784 famine cost Egypt?,one-sixth,roughly one-sixth of its population
"Egypt remained semi-autonomous under the Mamluks until it was invaded by the French forces of Napoleon Bonaparte in 1798. After the French were defeated by the British, a power vacuum was created in Egypt, and a three-way power struggle ensued between the Ottoman Turks, Egyptian Mamluks who had ruled Egypt for centuries, and Albanian mercenaries in the service of the Ottomans.",Who invaded Egypt in 1798?,Napoleon Bonaparte,Napoleon Bonaparte
"Egypt remained semi-autonomous under the Mamluks until it was invaded by the French forces of Napoleon Bonaparte in 1798. After the French were defeated by the British, a power vacuum was created in Egypt, and a three-way power struggle ensued between the Ottoman Turks, Egyptian Mamluks who had ruled Egypt for centuries, and Albanian mercenaries in the service of the Ottomans.",When did Napoleon Bonaparte invade Egypt?,1798,1798
"Egypt remained semi-autonomous under the Mamluks until it was invaded by the French forces of Napoleon Bonaparte in 1798. After the French were defeated by the British, a power vacuum was created in Egypt, and a three-way power struggle ensued between the Ottoman Turks, Egyptian Mamluks who had ruled Egypt for centuries, and Albanian mercenaries in the service of the Ottomans.",Who ruled Egypt for centuries?,Ottoman Turks,Egyptian Mamluks
"Muhammad Ali was the founder of the Muhammad Ali dynasty and the first Khedive of Egypt and Sudan. After the French were expelled, power was seized in 1805 by Muhammad Ali Pasha, an Albanian military commander of the Ottoman army in Egypt. While he carried the title of viceroy of Egypt, his subordination to the Ottoman porte was merely nominal. Muhammad Ali massacred the Mamluks and established a dynasty that was to rule Egypt until the revolution of 1952.",Who was the founder of the Muhammad Ali dynasty?,Muhammad Ali,Muhammad Ali
"Muhammad Ali was the founder of the Muhammad Ali dynasty and the first Khedive of Egypt and Sudan. After the French were expelled, power was seized in 1805 by Muhammad Ali Pasha, an Albanian military commander of the Ottoman army in Egypt. While he carried the title of viceroy of Egypt, his subordination to the Ottoman porte was merely nominal. Muhammad Ali massacred the Mamluks and established a dynasty that was to rule Egypt until the revolution of 1952.",Who was the commander of the Ottoman army in Egypt?,Muhammad Ali Pasha,Muhammad Ali Pasha
